swimmer,style,epoch_ms,n_gt_turns,n_det_turns,tp,fp,fn,count_exact,count_within1,drift_s,lap_mae_s
13,Freestyle,1531758722314,5,5,5,0,0,1,1,1.2333333348750273,0.7083333342187537
13,Freestyle,1531759820178,9,4,4,0,5,0,0,1.0333333346249844,0.7333333342499984
14,Freestyle,1526985344400,4,1,0,1,4,0,0,,
14,Freestyle,1526985680647,4,1,0,1,4,0,0,,
14,Freestyle,1526986181117,0,0,0,0,0,1,1,,
14,Freestyle,1532428981291,16,16,6,10,10,1,1,0.06666666667183563,0.8000000000546095
15,Freestyle,1526815397592,5,4,4,0,1,0,1,0.9000000012499925,0.43333333399998963
18,Freestyle,1526897766554,6,8,6,2,0,0,0,0.8333333335937141,0.8600000002687352
18,Freestyle,1526899001767,0,3,0,3,0,0,0,,
18,Freestyle,1526899316025,6,4,4,0,2,0,0,0.46666666681250035,0.5166666668281295
18,Freestyle,1527589071924,5,5,4,1,1,1,1,0.30000000012501005,0.6111111118749998
18,Freestyle,1527589919308,4,3,2,1,2,0,1,0.43333333400002516,0.43333333400002516
18,Freestyle,1531217595611,5,5,4,1,1,1,1,0.6000000001874639,0.08333333335936643
18,Freestyle,1531218713767,5,6,3,3,2,0,1,0.8000000002500087,1.8333333339062534
18,Freestyle,1531219114858,6,3,3,0,3,0,0,1.0333333336562305,0.5166666668281152
18,Freestyle,1531220441538,0,0,0,0,0,1,1,,
19,Freestyle,1527873243930,10,10,10,0,0,1,1,0.5666666652498407,0.5444444430833342
19,Freestyle,1532514223293,0,0,0,0,0,1,1,,
19,Freestyle,1533731489264,0,0,0,0,0,1,1,,
20,Freestyle,1526897904432,0,2,0,2,0,0,0,,
20,Freestyle,1526898327587,0,2,0,2,0,0,0,,
20,Freestyle,1526899871276,0,0,0,0,0,1,1,,
20,Freestyle,1532687073691,0,20,0,20,0,0,0,,
22,Freestyle,1526814937555,0,0,0,0,0,1,1,,
22,Freestyle,1526815274704,0,0,0,0,0,1,1,,
22,Freestyle,1532365378278,1,0,0,0,1,0,1,,
22,Freestyle,1532366005808,5,10,1,9,4,0,0,,
26,Freestyle,1527875324844,1,3,1,2,0,0,0,,
26,Freestyle,1527935282596,0,1,0,1,0,0,1,,
27,Freestyle,1527156963256,4,7,4,3,0,0,0,0.1666666662499665,0.4111111100833493
27,Freestyle,1527158217732,0,0,0,0,0,1,1,,
27,Freestyle,1527158835425,3,3,2,1,1,1,1,0.16666666624999493,0.16666666624999493
27,Freestyle,1527159493563,2,3,2,1,0,0,1,0.6666666649999939,0.6666666649999939
28,Freestyle,1527267722920,1,2,1,1,0,0,1,,
28,Freestyle,1527269088770,1,2,1,1,0,0,1,,
28,Freestyle,1527269209654,2,1,1,0,1,0,1,,
28,Freestyle,1527270663284,0,0,0,0,0,1,1,,
28,Freestyle,1527271326330,0,0,0,0,0,1,1,,
29,Freestyle,1526811304282,5,9,4,5,1,0,0,0.5000000004999947,1.2333333349999833
29,Freestyle,1526811651538,5,8,3,5,2,0,0,0.9666666676250202,0.8333333342499998
29,Freestyle,1526813416214,3,3,3,0,0,1,1,0.6666666672499986,0.6000000007499828
29,Freestyle,1526813638123,3,3,3,0,0,1,1,0.06666666687500822,0.9333333345625121
29,Freestyle,1526813863467,3,3,3,0,0,1,1,0.5000000006250218,0.683333334062489
30,Freestyle,1526900456490,1,1,1,0,0,1,1,,
30,Freestyle,1526901387609,0,0,0,0,0,1,1,,
31,Freestyle,1532427246306,16,19,5,14,11,0,0,0.5000000000391083,0.7833333333945234
32,Freestyle,1526984144184,3,0,0,0,3,0,0,,
32,Freestyle,1526984955785,1,1,1,0,0,1,1,,
32,Freestyle,1526985057870,2,0,0,0,2,0,0,,
33,Freestyle,1526813361601,1,1,1,0,0,1,1,,
33,Freestyle,1526813591392,3,2,2,0,1,0,1,1.2000000003749989,1.2000000003749989
33,Freestyle,1526813819256,3,1,1,0,2,0,0,,
33,Freestyle,1526814037042,3,3,3,0,0,1,1,0.6333333335312545,0.31666666676562727
34,Freestyle,1527935243889,0,0,0,0,0,1,1,,
35,Freestyle,1526985361628,2,2,2,0,0,1,1,0.466666666375005,0.466666666375005
35,Freestyle,1526985515813,2,2,2,0,0,1,1,0.8333333328124866,0.8333333328124866
35,Freestyle,1526985675308,2,1,1,0,1,0,1,,
35,Freestyle,1526985827195,2,2,2,0,0,1,1,0.8999999994375045,0.8999999994375045
35,Freestyle,1527589025049,5,2,2,0,3,0,0,0.033333333312498326,
35,Freestyle,1527589933971,5,2,2,0,3,0,0,0.8999999994374832,
37,Freestyle,1527502723558,6,6,6,0,0,1,1,1.1666666681250035,1.740000002175026
37,Freestyle,1527503150306,4,2,2,0,2,0,0,0.23333333362501207,0.23333333362501207
37,Freestyle,1527504541667,8,5,2,3,6,0,0,0.3333333337500335,
38,Freestyle,1526901159622,2,2,2,0,0,1,1,0.23333333275000712,0.23333333275000712
39,Freestyle,1526984465048,2,3,0,3,2,0,1,,
39,Freestyle,1526984965062,3,0,0,0,3,0,0,,
39,Freestyle,1526986368598,9,4,4,0,5,0,0,1.5999999960000082,2.749999993124998
